concept:name,lifecycle:transition,time:timestamp,concept:resource,concept:instance,@@index,@@case_index,case:concept:name
Gestao r,complete,2026-01-06 14:53:15.474351+00:00,re7,9,88,0,Demanda 0001
Gestao u,complete,2026-01-06 15:00:21.652376+00:00,re7,9,89,0,Demanda 0001
Codigo r,complete,2026-01-06 15:02:38.889718+00:00,re7,9,90,0,Demanda 0001
PF c,complete,2026-01-06 15:06:47.762276+00:00,re7,9,91,0,Demanda 0001
PF r,complete,2026-01-06 15:09:34.859245+00:00,re7,9,92,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 15:30:52.751000+00:00,re7,9,25,0,Demanda 0001
Manutencao de funcionalidade begin,complete,2026-01-06 03:40:51.751000+00:00,re7,10,1,0,Demanda 0001
Gestao u,complete,2026-01-06 04:24:17.574869+00:00,re7,10,93,0,Demanda 0001
Gestao d,complete,2026-01-06 09:06:17.698639+00:00,re7,10,94,0,Demanda 0001
Codigo u,complete,2026-01-06 10:24:06.436306+00:00,re7,10,95,0,Demanda 0001
Gestao r,complete,2026-01-06 10:27:20.948361+00:00,re7,10,96,0,Demanda 0001
Requisito r,complete,2026-01-06 15:01:48.733677+00:00,re7,10,97,0,Demanda 0001
Codigo r,complete,2026-01-06 15:13:04.962168+00:00,re7,10,98,0,Demanda 0001
Manutencao de funcionalidade complete,complete,2026-01-06 15:40:51.751000+00:00,re7,10,26,0,Demanda 0001
Planejamento de entrega begin,complete,2026-01-06 11:42:10.751000+00:00,re7,11,8,0,Demanda 0001
Gestao r,complete,2026-01-06 12:10:13.658973+00:00,re7,11,99,0,Demanda 0001
Requisito r,complete,2026-01-06 12:14:12.658643+00:00,re7,11,100,0,Demanda 0001
Gestao d,complete,2026-01-06 12:20:40.432830+00:00,re7,11,101,0,Demanda 0001
Gestao u,complete,2026-01-06 12:47:51.269683+00:00,re7,11,102,0,Demanda 0001
Gestao c,complete,2026-01-06 14:47:05.334243+00:00,re7,11,103,0,Demanda 0001
Planejamento de entrega complete,complete,2026-01-06 15:42:10.751000+00:00,re7,11,27,0,Demanda 0001
Publicar solucao begin,complete,2026-01-06 11:52:13.751000+00:00,re7,12,9,0,Demanda 0001
Gestao u,complete,2026-01-06 12:13:16.285176+00:00,re7,12,104,0,Demanda 0001
Gestao r,complete,2026-01-06 15:18:30.952790+00:00,re7,12,105,0,Demanda 0001
Gestao d,complete,2026-01-06 15:45:58.778135+00:00,re7,12,106,0,Demanda 0001
Publicar solucao complete,complete,2026-01-06 15:52:13.751000+00:00,re7,12,28,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 15:04:13.751000+00:00,re7,13,21,0,Demanda 0001
Gestao r,complete,2026-01-06 15:15:57.842669+00:00,re7,13,107,0,Demanda 0001
PF c,complete,2026-01-06 15:30:45.298638+00:00,re7,13,108,0,Demanda 0001
PF u,complete,2026-01-06 15:31:50.834986+00:00,re7,13,109,0,Demanda 0001
Gestao u,complete,2026-01-06 15:33:17.506554+00:00,re7,13,110,0,Demanda 0001
Codigo r,complete,2026-01-06 15:35:53.413312+00:00,re7,13,111,0,Demanda 0001
Requisito r,complete,2026-01-06 15:50:12.194123+00:00,re7,13,112,0,Demanda 0001
PF r,complete,2026-01-06 16:01:16.036975+00:00,re7,13,113,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 16:04:13.751000+00:00,re7,13,30,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 08:46:43.751000+00:00,re7,14,5,0,Demanda 0001
Gestao u,complete,2026-01-06 10:33:05.712640+00:00,re7,14,114,0,Demanda 0001
PF r,complete,2026-01-06 10:34:09.323818+00:00,re7,14,115,0,Demanda 0001
Gestao c,complete,2026-01-06 10:36:56.165180+00:00,re7,14,116,0,Demanda 0001
PF c,complete,2026-01-06 10:59:17.066546+00:00,re7,14,117,0,Demanda 0001
Requisito r,complete,2026-01-06 12:40:41.280643+00:00,re7,14,118,0,Demanda 0001
Codigo r,complete,2026-01-06 15:48:08.466707+00:00,re7,14,119,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 16:46:43.751000+00:00,re7,14,31,0,Demanda 0001
Review da entrega begin,complete,2026-01-06 12:48:26.751000+00:00,re7,15,10,0,Demanda 0001
Gestao u,complete,2026-01-06 13:38:45.788160+00:00,re7,15,120,0,Demanda 0001
Requisito r,complete,2026-01-06 16:30:15.038171+00:00,re7,15,121,0,Demanda 0001
Review da entrega complete,complete,2026-01-06 16:48:26.751000+00:00,re7,15,32,0,Demanda 0001
Elaborar caso de teste begin,complete,2026-01-06 22:51:05.751000+00:00,re7,16,36,0,Demanda 0001
Teste r,complete,2026-01-07 00:32:04.377555+00:00,re7,16,122,0,Demanda 0001
Teste d,complete,2026-01-07 01:26:46.140868+00:00,re7,16,123,0,Demanda 0001
Teste c,complete,2026-01-07 04:26:39.575621+00:00,re7,16,124,0,Demanda 0001
Gestao c,complete,2026-01-07 04:29:52.705653+00:00,re7,16,125,0,Demanda 0001
Gestao u,complete,2026-01-07 05:11:16.849227+00:00,re7,16,126,0,Demanda 0001
Elaborar caso de teste complete,complete,2026-01-07 06:51:05.751000+00:00,re7,16,37,0,Demanda 0001
Corrigir erro begin,complete,2026-01-06 11:37:09.751000+00:00,re7,17,7,0,Demanda 0001
Codigo u,complete,2026-01-06 11:48:05.093456+00:00,re7,17,127,0,Demanda 0001
Gestao d,complete,2026-01-06 13:11:33.646543+00:00,re7,17,128,0,Demanda 0001
Gestao u,complete,2026-01-06 15:27:36.133026+00:00,re7,17,129,0,Demanda 0001
Codigo c,complete,2026-01-06 17:05:16.336839+00:00,re7,17,130,0,Demanda 0001
Codigo d,complete,2026-01-06 17:10:55.249691+00:00,re7,17,131,0,Demanda 0001
Corrigir erro complete,complete,2026-01-06 17:37:09.751000+00:00,re7,17,33,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 16:01:29.751000+00:00,re7,18,29,0,Demanda 0001
Gestao u,complete,2026-01-06 16:14:51.959757+00:00,re7,18,132,0,Demanda 0001
Gestao d,complete,2026-01-06 16:22:41.393713+00:00,re7,18,133,0,Demanda 0001
PF c,complete,2026-01-06 16:51:48.372379+00:00,re7,18,134,0,Demanda 0001
Codigo r,complete,2026-01-06 17:15:55.822532+00:00,re7,18,135,0,Demanda 0001
PF u,complete,2026-01-06 17:22:50.160680+00:00,re7,18,136,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 18:01:29.751000+00:00,re7,18,34,0,Demanda 0001
Contagem de ponto de funcao begin,complete,2026-01-06 14:04:29.751000+00:00,re7,19,14,0,Demanda 0001
Requisito r,complete,2026-01-06 14:24:34.661667+00:00,re7,19,137,0,Demanda 0001
Codigo r,complete,2026-01-06 14:42:06.777361+00:00,re7,19,138,0,Demanda 0001
PF c,complete,2026-01-06 16:52:55.178576+00:00,re7,19,139,0,Demanda 0001
Gestao u,complete,2026-01-06 16:59:03.677741+00:00,re7,19,140,0,Demanda 0001
Gestao r,complete,2026-01-06 17:07:49.296201+00:00,re7,19,141,0,Demanda 0001
Contagem de ponto de funcao complete,complete,2026-01-06 18:04:29.751000+00:00,re7,19,35,0,Demanda 0001
Executar teste begin,complete,2026-01-07 18:06:19.751000+00:00,re7,20,38,0,Demanda 0001
Teste u,complete,2026-01-07 18:26:27.152105+00:00,re7,20,142,0,Demanda 0001
Requisito r,complete,2026-01-07 18:36:02.411544+00:00,re7,20,143,0,Demanda 0001
Teste r,complete,2026-01-07 18:53:23.715402+00:00,re7,20,144,0,Demanda 0001
Codigo r,complete,2026-01-07 18:56:16.275121+00:00,re7,20,145,0,Demanda 0001
Gestao u,complete,2026-01-07 19:01:31.674163+00:00,re10,20,146,0,Demanda 0001
Executar teste complete,complete,2026-01-07 19:06:19.751000+00:00,re10,20,39,0,Demanda 0001
