concept:name,lifecycle:transition,time:timestamp,concept:resource,concept:instance,@@index,@@case_index,case:concept:name,concept:operation
Gestao da demanda,complete,2026-01-06 15:12:43.751000+00:00,re7,6,22,0,Demanda 0001,A
Construcao de funcionalidade,begin,2026-01-06 11:21:37.751000+00:00,re7,7,6,0,Demanda 0001,A
Gestao,complete,2026-01-06 12:07:00.677614+00:00,re7,7,30,0,Demanda 0001,d
Codigo,complete,2026-01-06 12:17:24.408981+00:00,re7,7,34,0,Demanda 0001,d
Codigo,complete,2026-01-06 12:22:27.455628+00:00,re7,7,36,0,Demanda 0001,u
Codigo,complete,2026-01-06 12:46:27.688538+00:00,re7,7,41,0,Demanda 0001,c
Requisito,complete,2026-01-06 13:18:04.557568+00:00,re7,7,45,0,Demanda 0001,r
Teste,complete,2026-01-06 13:23:10.770019+00:00,re7,7,46,0,Demanda 0001,r
Gestao,complete,2026-01-06 13:58:59.759235+00:00,re7,7,52,0,Demanda 0001,r
Gestao,complete,2026-01-06 14:12:20.436370+00:00,re7,7,54,0,Demanda 0001,u
Construcao de funcionalidade,complete,2026-01-06 15:21:37.751000+00:00,re7,7,23,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 13:25:46.751000+00:00,re7,8,13,0,Demanda 0001,A
Gestao,complete,2026-01-06 13:31:41.937432+00:00,re7,8,47,0,Demanda 0001,u
Requisito,complete,2026-01-06 13:45:56.816321+00:00,re7,8,50,0,Demanda 0001,r
PF,complete,2026-01-06 13:50:14.848453+00:00,re7,8,51,0,Demanda 0001,r
PF,complete,2026-01-06 14:04:55.286152+00:00,re7,8,53,0,Demanda 0001,c
Codigo,complete,2026-01-06 14:12:26.116448+00:00,re7,8,55,0,Demanda 0001,r
Gestao,complete,2026-01-06 14:19:39.450580+00:00,re7,8,56,0,Demanda 0001,c
PF,complete,2026-01-06 15:15:19.184414+00:00,re7,8,73,0,Demanda 0001,u
PF,complete,2026-01-06 15:25:09.196825+00:00,re7,8,76,0,Demanda 0001,d
Contagem de ponto de funcao,complete,2026-01-06 15:25:46.751000+00:00,re7,8,24,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 14:30:52.751000+00:00,re7,9,18,0,Demanda 0001,A
Gestao,complete,2026-01-06 14:40:49.840583+00:00,re7,9,60,0,Demanda 0001,d
Gestao,complete,2026-01-06 14:52:56.667175+00:00,re7,9,63,0,Demanda 0001,c
Gestao,complete,2026-01-06 14:53:15.474351+00:00,re7,9,64,0,Demanda 0001,r
Gestao,complete,2026-01-06 15:00:21.652376+00:00,re7,9,65,0,Demanda 0001,u
Codigo,complete,2026-01-06 15:02:38.889718+00:00,re7,9,67,0,Demanda 0001,r
PF,complete,2026-01-06 15:06:47.762276+00:00,re7,9,68,0,Demanda 0001,c
PF,complete,2026-01-06 15:09:34.859245+00:00,re7,9,70,0,Demanda 0001,r
Contagem de ponto de funcao,complete,2026-01-06 15:30:52.751000+00:00,re7,9,25,0,Demanda 0001,A
Manutencao de funcionalidade,begin,2026-01-06 03:40:51.751000+00:00,re7,10,1,0,Demanda 0001,A
Gestao,complete,2026-01-06 04:24:17.574869+00:00,re7,10,4,0,Demanda 0001,u
Gestao,complete,2026-01-06 09:06:17.698639+00:00,re7,10,12,0,Demanda 0001,d
Codigo,complete,2026-01-06 10:24:06.436306+00:00,re7,10,17,0,Demanda 0001,u
Gestao,complete,2026-01-06 10:27:20.948361+00:00,re7,10,18,0,Demanda 0001,r
Requisito,complete,2026-01-06 15:01:48.733677+00:00,re7,10,66,0,Demanda 0001,r
Codigo,complete,2026-01-06 15:13:04.962168+00:00,re7,10,72,0,Demanda 0001,r
Manutencao de funcionalidade,complete,2026-01-06 15:40:51.751000+00:00,re7,10,26,0,Demanda 0001,A
Planejamento de entrega,begin,2026-01-06 11:42:10.751000+00:00,re7,11,8,0,Demanda 0001,A
Gestao,complete,2026-01-06 12:10:13.658973+00:00,re7,11,31,0,Demanda 0001,r
Requisito,complete,2026-01-06 12:14:12.658643+00:00,re7,11,33,0,Demanda 0001,r
Gestao,complete,2026-01-06 12:20:40.432830+00:00,re7,11,35,0,Demanda 0001,d
Gestao,complete,2026-01-06 12:47:51.269683+00:00,re7,11,42,0,Demanda 0001,u
Gestao,complete,2026-01-06 14:47:05.334243+00:00,re7,11,62,0,Demanda 0001,c
Planejamento de entrega,complete,2026-01-06 15:42:10.751000+00:00,re7,11,27,0,Demanda 0001,A
Publicar solucao,begin,2026-01-06 11:52:13.751000+00:00,re3,12,9,0,Demanda 0001,A
Gestao,complete,2026-01-06 12:13:16.285176+00:00,re7,12,32,0,Demanda 0001,u
Gestao,complete,2026-01-06 15:18:30.952790+00:00,re6,12,75,0,Demanda 0001,r
Gestao,complete,2026-01-06 15:45:58.778135+00:00,re7,12,82,0,Demanda 0001,d
Publicar solucao,complete,2026-01-06 15:52:13.751000+00:00,re3,12,28,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 15:04:13.751000+00:00,re7,13,21,0,Demanda 0001,A
Gestao,complete,2026-01-06 15:15:57.842669+00:00,re7,13,74,0,Demanda 0001,r
PF,complete,2026-01-06 15:30:45.298638+00:00,re7,13,78,0,Demanda 0001,c
PF,complete,2026-01-06 15:31:50.834986+00:00,re7,13,79,0,Demanda 0001,u
Gestao,complete,2026-01-06 15:33:17.506554+00:00,re7,13,80,0,Demanda 0001,u
Codigo,complete,2026-01-06 15:35:53.413312+00:00,re7,13,81,0,Demanda 0001,r
Requisito,complete,2026-01-06 15:50:12.194123+00:00,re7,13,84,0,Demanda 0001,r
PF,complete,2026-01-06 16:01:16.036975+00:00,re7,13,85,0,Demanda 0001,r
Contagem de ponto de funcao,complete,2026-01-06 16:04:13.751000+00:00,re7,13,30,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 08:46:43.751000+00:00,re7,14,5,0,Demanda 0001,A
Gestao,complete,2026-01-06 10:33:05.712640+00:00,re7,14,20,0,Demanda 0001,u
PF,complete,2026-01-06 10:34:09.323818+00:00,re7,14,21,0,Demanda 0001,r
Gestao,complete,2026-01-06 10:36:56.165180+00:00,re7,14,22,0,Demanda 0001,c
PF,complete,2026-01-06 10:59:17.066546+00:00,re7,14,26,0,Demanda 0001,c
Requisito,complete,2026-01-06 12:40:41.280643+00:00,re7,14,39,0,Demanda 0001,r
Codigo,complete,2026-01-06 15:48:08.466707+00:00,re7,14,83,0,Demanda 0001,r
Contagem de ponto de funcao,complete,2026-01-06 16:46:43.751000+00:00,re7,14,31,0,Demanda 0001,A
Gestao,complete,2026-01-06 13:38:45.788160+00:00,re7,15,48,0,Demanda 0001,u
Requisito,complete,2026-01-06 16:30:15.038171+00:00,re7,15,88,0,Demanda 0001,r
Elaborar caso de teste,begin,2026-01-06 22:51:05.751000+00:00,re7,16,36,0,Demanda 0001,A
Teste,complete,2026-01-07 00:32:04.377555+00:00,re7,16,97,0,Demanda 0001,r
Teste,complete,2026-01-07 01:26:46.140868+00:00,re7,16,98,0,Demanda 0001,d
Teste,complete,2026-01-07 04:26:39.575621+00:00,re7,16,99,0,Demanda 0001,c
Gestao,complete,2026-01-07 04:29:52.705653+00:00,re7,16,100,0,Demanda 0001,c
Gestao,complete,2026-01-07 05:11:16.849227+00:00,re7,16,101,0,Demanda 0001,u
Elaborar caso de teste,complete,2026-01-07 06:51:05.751000+00:00,re7,16,37,0,Demanda 0001,A
Corrigir erro,begin,2026-01-06 11:37:09.751000+00:00,re7,17,7,0,Demanda 0001,A
Codigo,complete,2026-01-06 11:48:05.093456+00:00,re7,17,28,0,Demanda 0001,u
Gestao,complete,2026-01-06 13:11:33.646543+00:00,re7,17,44,0,Demanda 0001,d
Gestao,complete,2026-01-06 15:27:36.133026+00:00,re7,17,77,0,Demanda 0001,u
Codigo,complete,2026-01-06 17:05:16.336839+00:00,re7,17,92,0,Demanda 0001,c
Codigo,complete,2026-01-06 17:10:55.249691+00:00,re7,17,94,0,Demanda 0001,d
Corrigir erro,complete,2026-01-06 17:37:09.751000+00:00,re7,17,33,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 16:01:29.751000+00:00,re7,18,29,0,Demanda 0001,A
Gestao,complete,2026-01-06 16:14:51.959757+00:00,re7,18,86,0,Demanda 0001,u
Gestao,complete,2026-01-06 16:22:41.393713+00:00,re7,18,87,0,Demanda 0001,d
PF,complete,2026-01-06 16:51:48.372379+00:00,re7,18,89,0,Demanda 0001,c
Codigo,complete,2026-01-06 17:15:55.822532+00:00,re7,18,95,0,Demanda 0001,r
PF,complete,2026-01-06 17:22:50.160680+00:00,re7,18,96,0,Demanda 0001,u
Contagem de ponto de funcao,complete,2026-01-06 18:01:29.751000+00:00,re7,18,34,0,Demanda 0001,A
Contagem de ponto de funcao,begin,2026-01-06 14:04:29.751000+00:00,re7,19,14,0,Demanda 0001,A
Requisito,complete,2026-01-06 14:24:34.661667+00:00,re7,19,58,0,Demanda 0001,r
Codigo,complete,2026-01-06 14:42:06.777361+00:00,re7,19,61,0,Demanda 0001,r
PF,complete,2026-01-06 16:52:55.178576+00:00,re7,19,90,0,Demanda 0001,c
Gestao,complete,2026-01-06 16:59:03.677741+00:00,re7,19,91,0,Demanda 0001,u
Gestao,complete,2026-01-06 17:07:49.296201+00:00,re7,19,93,0,Demanda 0001,r
Contagem de ponto de funcao,complete,2026-01-06 18:04:29.751000+00:00,re7,19,35,0,Demanda 0001,A
Executar teste,begin,2026-01-07 18:06:19.751000+00:00,re10,20,38,0,Demanda 0001,A
Teste,complete,2026-01-07 18:26:27.152105+00:00,re7,20,102,0,Demanda 0001,u
Requisito,complete,2026-01-07 18:36:02.411544+00:00,re7,20,103,0,Demanda 0001,r
Teste,complete,2026-01-07 18:53:23.715402+00:00,re7,20,104,0,Demanda 0001,r
Codigo,complete,2026-01-07 18:56:16.275121+00:00,re7,20,105,0,Demanda 0001,r
Gestao,complete,2026-01-07 19:01:31.674163+00:00,re7,20,106,0,Demanda 0001,u
Executar teste,complete,2026-01-07 19:06:19.751000+00:00,re10,20,39,0,Demanda 0001,A
